,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,value of product
6220,lynchburg,5495,2012.0,ford,huyndai sonata,good,4 cylinders,gas,101871.0,clean,automatic,fwd,sedan,blue,3
6221,lynchburg,6995,2012.0,ford,huyndai sonata,good,4 cylinders,gas,80930.0,clean,automatic,fwd,sedan,red,3
6222,lynchburg,7495,2012.0,gmc,acadia,good,6 cylinders,gas,123241.0,clean,automatic,4wd,SUV,black,1
6223,lynchburg,6995,2015.0,volkswagen,jetta,good,4 cylinders,gas,95821.0,clean,automatic,fwd,sedan,black,3
6224,lynchburg,2400,2005.0,ford,TOOTA CAMRY SOLARA SE,excellent,4 cylinders,gas,148155.0,clean,automatic,fwd,coupe,silver,3
6225,lynchburg,12978,2012.0,cadillac,srx,excellent,6 cylinders,other,79153.0,clean,automatic,fwd,SUV,black,3
6226,lynchburg,12911,2017.0,dodge,journey,excellent,6 cylinders,gas,102358.0,clean,automatic,4wd,SUV,white,2
6227,lynchburg,13904,2012.0,lincoln,mkx,excellent,6 cylinders,gas,85705.0,clean,automatic,4wd,SUV,white,2
6228,lynchburg,3250,2005.0,chrysler,town & country,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,fwd,SUV,white,3
6229,lynchburg,7995,2007.0,lexus,es350,excellent,6 cylinders,gas,110215.0,clean,automatic,fwd,sedan,white,3
6230,lynchburg,6000,2015.0,ford,f-250,excellent,6 cylinders,gas,175648.0,clean,automatic,4wd,SUV,white,2
6231,lynchburg,9286,2012.0,honda,cr-v ex awd,excellent,4 cylinders,gas,114459.0,clean,automatic,4wd,SUV,grey,2
6232,lynchburg,6495,2012.0,ford,focus sel,excellent,4 cylinders,gas,90170.0,clean,automatic,4wd,hatchback,grey,1
6233,lynchburg,3100,1998.0,jeep,grand cherokee limited,good,8 cylinders,gas,124000.0,clean,automatic,4wd,SUV,white,2
6234,lynchburg,4999,2009.0,nissan,altima,excellent,4 cylinders,gas,116960.0,clean,automatic,4wd,sedan,white,2
6235,lynchburg,6000,1999.0,chevrolet,step van,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
