,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
104,salt lake city,7995,2019.0,jeep,compass,,4 cylinders,gas,19548.0,clean,automatic,4wd,SUV,black
105,salt lake city,7995,2019.0,dodge,grand caravan,,6 cylinders,,24008.0,clean,automatic,fwd,van,grey
106,salt lake city,0,2016.0,ford,f-150,excellent,,gas,10.0,clean,automatic,4wd,,
107,salt lake city,7200,2004.0,lexus,es 330,excellent,,gas,150523.0,clean,automatic,fwd,,silver
108,salt lake city,0,2016.0,ford,f-150,excellent,,gas,10.0,clean,automatic,4wd,,
109,st george,12000,2015.0,volkswagen,jetta,like new,4 cylinders,gas,65000.0,clean,automatic,fwd,sedan,white
110,salt lake city,4995,2013.0,toyota,prius,,4 cylinders,hybrid,116083.0,salvage,automatic,fwd,hatchback,white
111,salt lake city,24999,2018.0,ford,transit cargo 250,,,gas,9389.0,clean,automatic,rwd,van,white
112,salt lake city,4000,2011.0,nissan,altima 2.5 s,excellent,4 cylinders,gas,110000.0,clean,automatic,fwd,sedan,blue
113,salt lake city,49995,,,olet Silverado 2500HD,,8 cylinders,diesel,28425.0,clean,automatic,4wd,pickup,white
114,salt lake city,16999,2013.0,subaru,brz,excellent,4 cylinders,gas,32000.0,clean,automatic,rwd,coupe,grey
115,salt lake city,22999,2017.0,subaru,wrx,excellent,4 cylinders,gas,39000.0,clean,manual,4wd,sedan,white
116,salt lake city,29999,2012.0,rover,sport,excellent,8 cylinders,gas,61000.0,clean,automatic,4wd,SUV,black
117,salt lake city,39999,2011.0,bmw,m3,excellent,8 cylinders,gas,29000.0,clean,automatic,rwd,coupe,blue
118,salt lake city,21999,2014.0,bmw,7 series,excellent,6 cylinders,gas,76000.0,clean,automatic,rwd,sedan,white
119,salt lake city,31999,2018.0,alfa-romeo,romeo stelvio,excellent,4 cylinders,gas,22000.0,clean,automatic,4wd,SUV,white
120,salt lake city,24999,2016.0,bmw,4 series,excellent,6 cylinders,gas,56000.0,clean,automatic,rwd,sedan,white
121,salt lake city,16999,2016.0,chevrolet,colorado,excellent,6 cylinders,gas,59000.0,clean,automatic,,,grey
122,salt lake city,21999,2015.0,bmw,3 series,excellent,4 cylinders,gas,56000.0,clean,automatic,4wd,sedan,blue
123,salt lake city,14999,2005.0,bmw,645ci convertible,excellent,8 cylinders,gas,43000.0,clean,automatic,rwd,convertible,white
124,salt lake city,25999,2014.0,bmw,x6,excellent,6 cylinders,gas,49000.0,clean,automatic,4wd,SUV,white
125,salt lake city,28999,2017.0,ford,mustang,excellent,8 cylinders,gas,5000.0,clean,manual,rwd,coupe,white
126,salt lake city,28950,2019.0,ford,f-250 super duty xl,,8 cylinders,gas,2890.0,rebuilt,automatic,4wd,truck,white
127,salt lake city,22995,2016.0,ram,1500,,8 cylinders,gas,54252.0,clean,automatic,rwd,pickup,black
128,salt lake city,10550,2011.0,nissan,titan sv 4x4,,8 cylinders,gas,66328.0,rebuilt,automatic,4wd,truck,grey
129,salt lake city,49995,,,500,,8 cylinders,gas,8512.0,clean,automatic,4wd,pickup,red
130,salt lake city,30995,2019.0,ford,edge,,4 cylinders,gas,14649.0,clean,automatic,4wd,SUV,silver
131,salt lake city,34995,,,olet Silverado 1500,,6 cylinders,,16161.0,clean,automatic,4wd,pickup,grey
132,salt lake city,12000,2005.0,ram,2500,excellent,,gas,159626.0,lien,automatic,,,
133,salt lake city,58995,2017.0,ford,super duty f-250 srw,,8 cylinders,,32537.0,clean,automatic,4wd,pickup,black
134,salt lake city,0,2008.0,,WORKHORSE W42,,,gas,,clean,automatic,fwd,other,white
135,salt lake city,38995,2016.0,ford,f-150,good,8 cylinders,gas,38086.0,clean,automatic,4wd,truck,white
136,salt lake city,46995,2018.0,jeep,wrangler,good,6 cylinders,gas,20283.0,clean,automatic,4wd,SUV,grey
137,salt lake city,14995,2010.0,ford,gt,good,8 cylinders,gas,28656.0,clean,manual,rwd,coupe,blue
138,salt lake city,56995,2018.0,ford,expedition,good,6 cylinders,gas,34388.0,clean,automatic,4wd,SUV,white
139,salt lake city,10995,2011.0,gmc,acadia,good,6 cylinders,gas,135529.0,clean,automatic,4wd,SUV,custom
140,salt lake city,16975,2013.0,honda,cr-v,,4 cylinders,gas,81226.0,clean,automatic,4wd,SUV,
141,salt lake city,0,2015.0,nissan,altima 2.5 sl,,4 cylinders,gas,29475.0,clean,automatic,fwd,sedan,
142,salt lake city,13999,2007.0,mercedes-benz,slk,,6 cylinders,gas,48130.0,clean,automatic,rwd,convertible,
143,st george,21500,2015.0,gmc,sierra 1500,excellent,8 cylinders,gas,126520.0,clean,automatic,fwd,,white
144,st george,3700,2005.0,mazda,3 hatchback,excellent,4 cylinders,gas,,clean,automatic,fwd,hatchback,silver
145,st george,34495,2012.0,chevrolet,silverado 3500 hd crew cab,,8 cylinders,diesel,108437.0,clean,automatic,4wd,pickup,black
146,st george,17500,2018.0,toyota,c-hr,like new,4 cylinders,gas,33565.0,clean,automatic,fwd,SUV,red
147,st george,20495,2016.0,chevrolet,express 3500 passenger,,8 cylinders,other,33293.0,clean,automatic,rwd,other,white
148,st george,22795,2015.0,mercedes-benz,sprinter 2500 passenger,,6 cylinders,diesel,216694.0,clean,automatic,rwd,other,black
149,st george,6795,2010.0,chrysler,town & country,,6 cylinders,gas,123352.0,clean,automatic,fwd,other,custom
150,st george,3150,2003.0,chevrolet,trailblazer,excellent,8 cylinders,gas,,clean,automatic,4wd,SUV,black
151,st george,5500,2006.0,chevrolet,silverado,,,gas,,clean,automatic,,,
152,st george,8845,2010.0,chevrolet,malibu,excellent,,gas,61700.0,clean,automatic,fwd,sedan,silver
153,st george,8490,2015.0,mitsubishi,mirage,excellent,,gas,51712.0,clean,automatic,fwd,hatchback,purple
154,st george,6445,2012.0,chevrolet,sonic,excellent,,gas,99587.0,clean,automatic,fwd,sedan,white
155,st george,7435,2004.0,ram,1500,excellent,,gas,201312.0,clean,automatic,rwd,pickup,silver
156,st george,25495,2012.0,ram,3500 crew cab,,6 cylinders,diesel,314464.0,clean,automatic,4wd,pickup,white
157,st george,5000,2003.0,toyota,tundra,good,,gas,209000.0,clean,automatic,rwd,truck,white
158,st george,10499,2008.0,saturn,sky red line,good,4 cylinders,gas,89869.0,clean,manual,rwd,convertible,black
159,st george,7295,1981.0,chevrolet,blazer,excellent,,gas,88728.0,clean,automatic,4wd,,white
160,st george,23795,2009.0,chevrolet,silverado 2500 hd extended cab,,8 cylinders,diesel,134031.0,clean,automatic,4wd,pickup,custom
161,st george,9995,2008.0,gmc,w4500 hd dsl reg,excellent,4 cylinders,diesel,200000.0,clean,automatic,rwd,pickup,
162,st george,26795,2015.0,chevrolet,silverado 2500 hd crew cab,,8 cylinders,other,100616.0,clean,automatic,4wd,pickup,silver
163,st george,29000,2014.0,ford,f-150,excellent,8 cylinders,gas,32000.0,clean,automatic,4wd,pickup,black
164,st george,7999,2006.0,ford,econoline e350,excellent,8 cylinders,gas,196000.0,clean,automatic,fwd,truck,white
165,st george,27701,2017.0,mercedes-benz,glc300,excellent,,gas,39106.0,clean,automatic,,,
166,st george,21000,2013.0,toyota,4runner,excellent,6 cylinders,gas,119000.0,clean,automatic,,,
167,st george,6500,1999.0,nissan,frontier,excellent,4 cylinders,gas,75400.0,clean,automatic,,pickup,silver
168,st george,550,1992.0,mitsubishi,mighty max,,4 cylinders,gas,,clean,manual,,,
169,st george,19000,2010.0,toyota,tundra,excellent,8 cylinders,gas,,lien,automatic,4wd,truck,black
170,st george,4500,2004.0,volkswagen,new beetle,like new,4 cylinders,gas,74000.0,clean,automatic,fwd,hatchback,yellow
171,st george,7500,1950.0,dodge,trucj,like new,8 cylinders,gas,1000.0,clean,automatic,fwd,truck,grey
172,st george,13500,2004.0,jeep,wrangler unlimited,excellent,6 cylinders,gas,133287.0,clean,automatic,4wd,SUV,custom
173,st george,6000,1955.0,chrysler,windsor,good,8 cylinders,gas,0.0,clean,automatic,fwd,coupe,grey
174,st george,1600,2004.0,ford,,,,gas,98000.0,clean,automatic,,,
175,st george,8995,2013.0,nissan,murano platinum,excellent,6 cylinders,gas,130423.0,clean,automatic,fwd,SUV,black
176,st george,2400,2002.0,chevrolet,tahoe ls,good,8 cylinders,gas,194956.0,clean,automatic,rwd,SUV,black
177,st george,7295,2007.0,hyundai,veracruz,excellent,6 cylinders,gas,77580.0,clean,automatic,4wd,SUV,black
178,st george,3495,2006.0,pontiac,g6 gtp,excellent,6 cylinders,gas,162033.0,clean,automatic,fwd,convertible,grey
179,st george,3500,2009.0,toyota,camry,excellent,4 cylinders,gas,191538.0,clean,automatic,fwd,sedan,black
180,st george,8400,2008.0,chevrolet,tahoe z71,excellent,8 cylinders,other,176353.0,rebuilt,automatic,rwd,SUV,white
181,st george,3600,2006.0,mitsubishi,lancer,excellent,4 cylinders,gas,133000.0,clean,automatic,fwd,sedan,white
182,st george,4200,2006.0,honda,odyssey ex-l w/ dvd,good,6 cylinders,gas,129046.0,rebuilt,automatic,fwd,wagon,silver
183,st george,39900,2015.0,bmw,x6 m,excellent,8 cylinders,gas,,clean,automatic,4wd,SUV,blue
184,st george,18795,2015.0,toyota,avalon,,6 cylinders,gas,30680.0,clean,automatic,fwd,sedan,custom
185,st george,13500,1977.0,chevrolet,c10,good,8 cylinders,gas,,clean,automatic,rwd,pickup,
186,st george,17595,2010.0,ford,f150 supercrew cab,,8 cylinders,other,135536.0,clean,automatic,4wd,pickup,black
187,st george,3200,2000.0,toyota,,excellent,,gas,,clean,automatic,,,black
188,st george,4200,2007.0,ford,focus,excellent,,gas,,clean,automatic,,,black
189,st george,3200,2008.0,mazda,6,good,,gas,,clean,automatic,,,silver
190,st george,56995,2017.0,volvo,vnl,good,,diesel,608498.0,clean,automatic,,,blue
191,st george,22500,2016.0,ford,edge titanium awd,like new,4 cylinders,gas,46850.0,clean,automatic,4wd,SUV,grey
192,st george,8300,2013.0,ford,escape se fwd,excellent,4 cylinders,gas,116500.0,clean,automatic,fwd,sedan,blue
193,st george,1700,1999.0,toyota,corolla,good,4 cylinders,gas,135000.0,clean,automatic,fwd,sedan,silver
194,st george,19495,2014.0,chevrolet,camaro,,8 cylinders,gas,78954.0,clean,automatic,rwd,other,white
195,st george,18295,2016.0,subaru,wrx,,4 cylinders,gas,50824.0,salvage,manual,,sedan,white
196,st george,22995,2018.0,nissan,frontier,like new,6 cylinders,gas,,clean,automatic,4wd,truck,red
197,st george,12495,2015.0,volkswagen,golf,,4 cylinders,diesel,75915.0,clean,automatic,fwd,other,white
198,st george,36900,2013.0,ford,f250 lariat 4x4,excellent,8 cylinders,diesel,66800.0,clean,automatic,4wd,pickup,white
199,st george,16495,1951.0,chevrolet,deluxe,,6 cylinders,,72627.0,clean,automatic,rwd,other,white
200,st george,21500,2008.0,gmc,sierra 2500 hd,excellent,8 cylinders,diesel,224878.0,clean,automatic,4wd,truck,black
201,st george,16900,2017.0,toyota,rav4,like new,4 cylinders,gas,51300.0,clean,automatic,fwd,SUV,white
202,st george,27400,2017.0,mercedes-benz,gla250 4matic,excellent,,gas,12340.0,clean,automatic,,,
203,st george,12000,2012.0,ford,f-150,excellent,8 cylinders,gas,151000.0,clean,automatic,4wd,truck,silver
204,st george,1500,1998.0,,F150,fair,6 cylinders,gas,187000.0,clean,automatic,rwd,pickup,white
205,st george,1800,2004.0,nissan,xterra,good,,gas,,clean,automatic,4wd,SUV,silver
206,st george,10795,2014.0,volkswagen,passat,,4 cylinders,diesel,79187.0,clean,automatic,fwd,sedan,silver
207,st george,16695,2008.0,toyota,fj cruiser,,6 cylinders,gas,163658.0,clean,automatic,4wd,SUV,yellow
208,st george,9000,2007.0,chevrolet,tahoe,good,8 cylinders,gas,165000.0,clean,automatic,rwd,SUV,custom
209,st george,11000,2001.0,jaguar,xk8,excellent,,gas,78000.0,clean,automatic,rwd,convertible,
210,st george,9999,2012.0,volkswagen,golf,,4 cylinders,diesel,69502.0,clean,manual,fwd,other,blue
211,st george,6495,2008.0,jeep,liberty,,6 cylinders,gas,130535.0,clean,automatic,4wd,SUV,black
212,st george,9995,2013.0,volkswagen,passat,,4 cylinders,diesel,85111.0,clean,automatic,fwd,sedan,custom
213,st george,12795,2012.0,volkswagen,touareg,,6 cylinders,diesel,140776.0,clean,automatic,,SUV,custom
214,st george,9795,2014.0,volkswagen,beetle,,4 cylinders,diesel,106696.0,clean,automatic,fwd,other,blue
215,st george,11495,2013.0,fiat,500,,4 cylinders,gas,26473.0,clean,manual,fwd,other,custom
216,st george,17495,2012.0,ram,1500 quad cab,,8 cylinders,gas,82882.0,clean,automatic,4wd,pickup,black
217,st george,22495,2016.0,bmw,x1,,4 cylinders,gas,54489.0,clean,automatic,,SUV,white
218,st george,9995,2012.0,kia,optima,,4 cylinders,gas,101172.0,clean,automatic,fwd,sedan,silver
219,st george,4250,2004.0,ford,expedition,,8 cylinders,gas,203972.0,clean,automatic,4wd,SUV,silver
220,st george,16995,2015.0,volvo,xc60,,4 cylinders,gas,69699.0,clean,automatic,fwd,SUV,custom
221,st george,7995,2004.0,jeep,wrangler,,6 cylinders,gas,132920.0,clean,manual,4wd,SUV,red
222,st george,29795,2016.0,toyota,4runner,,6 cylinders,gas,57645.0,clean,automatic,4wd,SUV,red
223,st george,22795,2015.0,toyota,highlander,,6 cylinders,gas,54322.0,clean,automatic,,SUV,blue
224,st george,20495,2018.0,honda,civic,,4 cylinders,gas,17082.0,clean,automatic,fwd,other,grey
225,st george,27795,2015.0,mercedes-benz,gl-class,,6 cylinders,gas,63380.0,clean,automatic,,SUV,white
226,st george,6495,2013.0,hyundai,accent,,4 cylinders,gas,111060.0,clean,automatic,fwd,sedan,blue
227,st george,12795,2014.0,ford,fusion,,4 cylinders,gas,66747.0,clean,automatic,fwd,sedan,
228,st george,10795,2012.0,audi,a6,,4 cylinders,gas,96293.0,clean,automatic,fwd,sedan,silver
229,st george,36495,2015.0,gmc,yukon,,8 cylinders,gas,88244.0,clean,automatic,,SUV,custom
230,st george,24595,2008.0,ram,3500 mega cab,,6 cylinders,diesel,139400.0,clean,automatic,,pickup,white
231,st george,15495,2015.0,ford,fiesta,,4 cylinders,gas,27730.0,clean,manual,fwd,other,red
232,st george,17495,2015.0,honda,odyssey,,6 cylinders,gas,62751.0,clean,automatic,fwd,other,silver
233,st george,14495,2012.0,jeep,grand cherokee,,6 cylinders,other,103117.0,clean,automatic,4wd,SUV,custom
234,st george,18795,2014.0,gmc,acadia,,6 cylinders,gas,85961.0,clean,automatic,,SUV,white
235,st george,9995,2012.0,jeep,liberty,,6 cylinders,gas,106169.0,clean,automatic,4wd,SUV,silver
236,st george,8995,2012.0,toyota,prius v,,4 cylinders,hybrid,166594.0,clean,automatic,fwd,wagon,silver
237,st george,12145,2017.0,nissan,sentra,,4 cylinders,gas,30853.0,clean,automatic,fwd,sedan,silver
