,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
22,0.75,0.39084507042253525,0.8333333333333428,0.2222222222222222,0.5196021064950264,0.6000000000000001,0.5714285714285714,0.5,0.24926211926211925,1.0,1.0,0.0,0.5833333333333333,0.9090909090909092
23,0.75,0.39084507042253525,0.9166666666666714,0.38888888888888884,0.36190754827384436,0.6000000000000001,0.2857142857142857,0.5,0.051016731016731015,1.0,1.0,0.0,0.25,0.9090909090909092
24,0.75,0.06746478873239437,0.125,0.9166666666666666,0.665886483323581,0.6000000000000001,0.2857142857142857,0.5,0.9238481338481338,1.0,1.0,1.0,0.16666666666666669,0.09090909090909091
25,0.75,0.9380281690140845,0.7916666666666714,0.9444444444444444,0.9274429490930369,0.6000000000000001,0.7142857142857142,0.5,0.18296439296439296,1.0,1.0,1.0,0.7499999999999999,0.9090909090909092
26,0.75,0.5598591549295774,0.9166666666666714,0.3611111111111111,0.2618490345231129,0.6000000000000001,0.2857142857142857,0.5,0.04583011583011583,1.0,1.0,0.0,0.25,0.9090909090909092
27,0.75,0.3627042253521127,0.875,0.2777777777777778,0.3566413107080164,0.6000000000000001,0.2857142857142857,0.5,0.34804804804804806,1.0,1.0,1.0,0.5833333333333333,0.9090909090909092
28,0.875,0.6111267605633802,0.7083333333333428,0.5555555555555556,0.5286717378583967,0.6000000000000001,0.5714285714285714,0.5,0.27388245388245386,1.0,1.0,0.5,0.25,0.8181818181818182
29,0.75,0.7506478873239436,0.75,0.2777777777777778,0.6451141018139263,0.6000000000000001,0.5714285714285714,0.5,0.03664950664950665,1.0,0.5,0.5,0.5833333333333333,0.0
30,0.75,0.6253521126760563,0.5833333333333428,0.2777777777777778,0.9534815681685196,0.6000000000000001,0.5714285714285714,0.5,0.16173316173316174,1.0,1.0,1.0,0.5833333333333333,0.9090909090909092
31,0.75,0.7436619718309859,0.3333333333333428,0.2777777777777778,0.46225863077823287,0.4000000000000001,0.8571428571428572,0.5,0.28892320892320894,1.0,1.0,1.0,0.7499999999999999,0.9090909090909092
32,0.75,0.40549295774647887,0.75,0.8333333333333333,0.0038033937975424227,0.6000000000000001,0.7142857142857142,0.5,0.44295152295152296,1.0,1.0,0.5,0.49999999999999994,0.8181818181818182
33,0.75,0.252112676056338,0.75,0.3611111111111111,0.6594499707431246,0.6000000000000001,0.5714285714285714,0.5,0.3390604890604891,0.5,1.0,0.0,0.4166666666666667,0.0
34,0.75,0.49011267605633807,0.7916666666666714,0.6388888888888888,0.2729666471620831,0.6000000000000001,0.2857142857142857,0.5,0.15873015873015872,1.0,1.0,0.0,0.25,0.9090909090909092
35,0.75,0.49011267605633807,0.7083333333333428,0.08333333333333333,0.044470450555880635,0.6000000000000001,0.5714285714285714,0.5,0.27885027885027885,1.0,1.0,0.5,0.9166666666666666,0.0
36,0.75,0.02535211267605634,0.3333333333333428,0.2777777777777778,0.6451141018139263,0.4000000000000001,0.5714285714285714,0.5,0.5534105534105535,1.0,0.5,0.5,0.9166666666666666,0.09090909090909091
37,0.75,0.6026760563380281,0.7083333333333428,0.2777777777777778,0.4142773551784669,0.6000000000000001,0.7142857142857142,0.5,0.2720935220935221,1.0,1.0,0.5,0.49999999999999994,0.7272727272727273
38,0.75,0.7688732394366197,0.8333333333333428,0.8333333333333333,0.0038033937975424227,0.6000000000000001,0.7142857142857142,0.5,0.08187902187902188,1.0,1.0,1.0,0.7499999999999999,0.7272727272727273
39,0.75,0.7999718309859155,0.6666666666666714,0.6388888888888888,0.2755997659449971,0.6000000000000001,0.7142857142857142,0.5,0.3560703560703561,1.0,1.0,0.5,0.25,0.0
40,0.875,0.37169014084507046,0.5,0.5555555555555556,0.5318899941486249,0.6000000000000001,0.7142857142857142,0.5,0.7064178464178464,1.0,1.0,1.0,0.5833333333333333,0.9090909090909092
41,0.75,0.9970422535211266,0.75,0.2777777777777778,0.4142773551784669,0.6000000000000001,0.7142857142857142,0.5,0.4009094809094809,1.0,1.0,1.0,0.49999999999999994,0.0
42,0.75,0.20704225352112676,0.75,0.19444444444444442,0.05119953188999415,0.6000000000000001,0.5714285714285714,0.5,0.25172458172458173,0.5,1.0,0.5,0.25,0.4545454545454546
43,0.75,0.4197183098591549,0.4166666666666714,0.9444444444444444,0.8782913984786425,0.6000000000000001,0.5714285714285714,0.5,0.4255040755040755,1.0,0.5,0.5,0.5833333333333333,0.7272727272727273
44,0.75,0.9970422535211266,0.7916666666666714,0.3055555555555555,0.796957284961966,0.6000000000000001,0.7142857142857142,0.5,0.28925353925353925,1.0,1.0,1.0,0.49999999999999994,0.9090909090909092
45,0.75,0.37464788732394366,0.5833333333333428,0.9444444444444444,0.08045640725570509,0.6000000000000001,0.5714285714285714,0.5,0.3377434577434577,1.0,1.0,0.5,0.5833333333333333,0.9090909090909092
46,0.75,0.9373521126760563,0.625,0.1388888888888889,0.3150965476887069,0.6000000000000001,0.7142857142857142,0.5,0.20716001716001717,1.0,1.0,0.5,0.9166666666666666,0.9090909090909092
47,0.75,0.30690140845070424,0.9583333333333428,0.75,0.17583382094792277,0.6000000000000001,0.2857142857142857,0.5,0.047584727584727586,1.0,1.0,0.0,0.25,0.0
48,0.75,0.8838028169014084,0.8333333333333428,0.4722222222222222,0.9540667056758338,0.6000000000000001,0.5714285714285714,0.5,0.12132990132990133,1.0,0.5,1.0,0.5833333333333333,0.9090909090909092
49,0.75,0.137887323943662,0.9166666666666714,0.2777777777777778,0.47103569338794615,0.6000000000000001,0.2857142857142857,0.5,0.10497211497211496,1.0,1.0,0.0,0.25,0.9090909090909092
50,0.75,0.8343943661971831,0.8333333333333428,0.6388888888888888,0.3417203042715038,0.6000000000000001,0.5714285714285714,0.5,0.061012441012441014,1.0,1.0,1.0,0.25,0.9090909090909092
51,0.75,0.5041971830985915,0.5,0.4722222222222222,0.9540667056758338,0.6000000000000001,0.5714285714285714,0.5,0.2574174174174174,1.0,0.5,1.0,0.5833333333333333,0.9090909090909092
52,0.75,0.34861971830985916,0.625,0.9444444444444444,0.8671737858396723,0.6000000000000001,0.2857142857142857,0.5,0.39964392964392964,1.0,0.5,0.5,0.7499999999999999,0.9090909090909092
53,0.75,0.1943380281690141,0.375,0.9722222222222222,0.19836161497952018,0.6000000000000001,0.2857142857142857,0.5,0.1867181467181467,1.0,1.0,0.0,0.08333333333333333,0.9090909090909092
54,0.75,0.5746197183098591,0.3333333333333428,0.6388888888888888,0.8267992978349913,0.6000000000000001,0.7142857142857142,0.5,0.23595023595023595,1.0,1.0,0.5,0.9999999999999999,0.0
55,0.75,0.16605633802816902,0.875,0.75,0.7773551784669397,0.6000000000000001,0.2857142857142857,0.5,0.30076791076791076,1.0,1.0,0.0,0.25,0.9090909090909092
56,0.75,0.7140845070422535,0.9583333333333428,0.75,0.18373317729666472,0.6000000000000001,0.7142857142857142,0.5,0.03805662805662806,1.0,1.0,1.0,0.5833333333333333,0.0
57,0.75,0.1519718309859155,0.5833333333333428,0.16666666666666666,0.9180807489760093,0.6000000000000001,0.5714285714285714,0.5,0.49449163449163447,1.0,1.0,1.0,0.5833333333333333,0.0
